week,item_id,ligand,classification,reason,train_pdb,train_het,train_identity,train_align_rmsd,train_shape_overlap,has_correct_pose,nearest_score,nearest_classification,nearest_choice_id,pocket_aware_score,pocket_aware_classification,pocket_aware_choice_id,rnp_exact_score,rnp_exact_classification,rnp_exact_train_pdb,rnp_exact_train_het,rnp_blind_score,rnp_blind_classification,rnp_blind_choice_id,rnp_blind_train_pdb,rnp_blind_train_het,training_system_overlay_status,training_system_overlay_unavailable_reason,training_system_overlay
2026-08-08,12LB,A1DI6,familiar,training-ligand-overlap-at-least-0.25,6B0Y,8ZG,0.982,0.775,0.3051,True,0.3111,familiar,choice_d5772a3c29101ce8,0.3361,familiar,choice_cffd223dfc81c543,0.30151589849288185,familiar,6B0Y,8ZG,0.3077289340828771,familiar,choice_22363ea3d3b9128d,6T5B,O7K,available,,"{'object_uri': 'supabase://foldarium-weekly-quiz/sha256/ea/ea188b83ee81c48dc1c4f2c0fb46560d0093ecddf1a4033237c79b0b39391cc2', 'sha256': 'ea188b83ee81c48dc1c4f2c0fb46560d0093ecddf1a4033237c79b0b39391cc2', 'size_bytes': 449793, 'media_type': 'chemical/x-pdb'}"
2026-08-08,12LC,A1DI7,familiar,training-ligand-overlap-at-least-0.25,6B0Y,8ZG,1.0,0.781,0.2791,False,0.2946,familiar,choice_5ceb2ea674f1647a,0.2946,familiar,choice_5ceb2ea674f1647a,0.2322919624540616,novel,6B0Y,8ZG,0.2820422070544171,familiar,choice_c94fea67b6ba3066,6T5B,O7K,available,,"{'object_uri': 'supabase://foldarium-weekly-quiz/sha256/88/88b788164af09d800f0e7f5664bcc5aa56013886d8480a733d55883b91a21982', 'sha256': '88b788164af09d800f0e7f5664bcc5aa56013886d8480a733d55883b91a21982', 'size_bytes': 449793, 'media_type': 'chemical/x-pdb'}"
2026-08-08,24UY,GPP,novel,no-usable-pre-cutoff-ligand-pocket-analog,,,,,,True,,unknown,,,unknown,,,novel,,,,unknown,,,,not-applicable,,
2026-08-08,29LK,PLS,novel,no-usable-pre-cutoff-ligand-pocket-analog,,,,,,True,0.0001,novel,choice_56e8991f6f7978bd,0.0279,novel,choice_dc86456181e1bd76,,novel,,,,unknown,,,,not-applicable,,
2026-08-08,29MM,A1J30,familiar,training-ligand-overlap-at-least-0.25,7RCT,4Q4,0.994,0.445,0.557,True,0.4984,familiar,choice_fea8e07b2e24ba88,0.5913,familiar,choice_fea8e07b2e24ba88,0.5092017644364308,familiar,7RCT,4Q4,0.5909411718854533,familiar,choice_fea8e07b2e24ba88,6MD7,JE1,available,,"{'object_uri': 'supabase://foldarium-weekly-quiz/sha256/17/17ba5c44e8bf18743da1fd6f2cd9e5de44e32f358e93335ec7548adcba8896ea', 'sha256': '17ba5c44e8bf18743da1fd6f2cd9e5de44e32f358e93335ec7548adcba8896ea', 'size_bytes': 655047, 'media_type': 'chemical/x-pdb'}"
2026-08-08,32AW,A1KBG,novel,no-usable-pre-cutoff-ligand-pocket-analog,,,,,,True,0.0,novel,choice_edd45bb68297a657,0.4912,familiar,choice_072cf2e65db60c19,,novel,,,0.3310901502639984,familiar,choice_522f49d6bc02064f,4BCI,T3E,not-applicable,,
2026-08-08,37HF,A1IYR,novel,no-usable-pre-cutoff-ligand-pocket-analog,,,,,,False,0.0,novel,choice_e84f310987f880e3,0.0,novel,choice_e84f310987f880e3,,novel,,,0.0,novel,choice_bdbab9568093eb06,5VLL,NH2,not-applicable,,
2026-08-08,9I3C,IO0,novel,training-ligand-overlap-below-0.25,1GP4,AKG,0.209,1.973,0.1262,True,0.0,novel,choice_c690e0d0ac852bb1,0.2006,novel,choice_a3eab795556a22ac,,unknown,,,,unknown,,,,available,,"{'object_uri': 'supabase://foldarium-weekly-quiz/sha256/55/5566f714f85e15a2df894bb09b27b8c3c21671be4ad5e232d1361cf49d114260', 'sha256': '5566f714f85e15a2df894bb09b27b8c3c21671be4ad5e232d1361cf49d114260', 'size_bytes': 220968, 'media_type': 'chemical/x-pdb'}"
2026-08-08,9P74,A1CHG,familiar,training-ligand-overlap-at-least-0.25,5FET,1TR,0.988,0.37,0.486,True,,unknown,,,unknown,,0.5283224002729672,familiar,5FET,1TR,,unknown,,,,available,,"{'object_uri': 'supabase://foldarium-weekly-quiz/sha256/cb/cb03befe16b38c6c17f01c8e39f00133e3c40e726fae86442fb25b907a34a61b', 'sha256': 'cb03befe16b38c6c17f01c8e39f00133e3c40e726fae86442fb25b907a34a61b', 'size_bytes': 1011771, 'media_type': 'chemical/x-pdb'}"
2026-08-08,9PEL,A1CIK,novel,no-usable-pre-cutoff-ligand-pocket-analog,,,,,,False,0.0,novel,choice_fd4419345a5f5485,0.0,novel,choice_fd4419345a5f5485,,novel,,,0.0,novel,choice_f7fe1f3cdc9d7e44,6GKD,Z9N,not-applicable,,
